Setup,Threshold G0,Threshold G1,DP gap,EO gap,ACC G0,ACC G1,SelRate G0,SelRate G1,TPR G0,TPR G1,PPV G0,PPV G1
Base (0.50),0.5,0.5,0.5733992901484026,0.5081549698675982,0.646469704556835,0.6620069895157261,0.24687030545818717,0.8202695956065897,0.3727598566308239,0.8809148264984221,0.63286004056795,0.679853925745587
"EO (t0=0.405, t1=0.650)",0.4054674996372694,0.6496039986763791,0.06399639399188645,0.00026853453636777047,0.6374561842764144,0.6275586620069892,0.4692038057085626,0.5332001997004491,0.6272401433691749,0.6269716088328071,0.5602988260405544,0.7443820224719094
"DP (t0=0.385, t1=0.650)",0.38499999999999995,0.6499999999999999,0.004909261045837332,0.05601536205993274,0.6249374061091635,0.6270594108836742,0.5277916875312967,0.532700948577134,0.6821983273596168,0.6261829652996841,0.5417457305502842,0.744142455482661
